[2025-01-31 22:27:23] [QSPlugins] The Player <MerKaiRain> has broke COPPER_ORE at X= -97, Y= 21, Z= -20
[2025-01-31 22:27:24] [QSPlugins] The Player <MerKaiRain> has broke COPPER_ORE at X= -96, Y= 21, Z= -20
[2025-01-31 22:27:24] [QSPlugins] The Player <MerKaiRain> has broke COPPER_ORE at X= -96, Y= 21, Z= -19
[2025-01-31 22:27:24] [QSPlugins] The Player <MerKaiRain> has broke COPPER_ORE at X= -97, Y= 20, Z= -21
[2025-01-31 22:27:24] [QSPlugins] The Player <MerKaiRain> has broke COPPER_ORE at X= -96, Y= 20, Z= -21
[2025-01-31 22:27:24] [QSPlugins] The Player <MerKaiRain> has broke COPPER_ORE at X= -97, Y= 21, Z= -19
[2025-01-31 22:27:24] [QSPlugins] The Player <MerKaiRain> has broke STONE at X= -96, Y= 20, Z= -19
[2025-01-31 22:33:41] [QSPlugins] The Player <MerKaiRain> has broke OAK_LEAVES at X= -2, Y= 84, Z= -1
[2025-01-31 22:33:44] [QSPlugins] The Player <MerKaiRain> has broke OAK_LEAVES at X= -1, Y= 84, Z= 0
[2025-01-31 22:33:45] [QSPlugins] The Player <MerKaiRain> has broke OAK_LEAVES at X= -2, Y= 84, Z= 1
[2025-01-31 22:33:46] [QSPlugins] The Player <MerKaiRain> has broke OAK_LEAVES at X= -2, Y= 84, Z= 0
[2025-01-31 22:33:47] [QSPlugins] The Player <MerKaiRain> has broke OAK_LEAVES at X= -3, Y= 84, Z= 0
